"elementId","contextId","unitId","fact","decimals","factId","ns","roles","scheme","identifier","startDate","endDate","dimension1","value1","dimension2","value2","dimension3","value3","dimension4","value4"
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2012_TX","Pure","0.064","3","Tag1201","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:StatementGeographicalAxis","stpr:TX",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2013_CA","Pure","0.230","3","Tag1202","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:CA",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2013_IL","Pure","0.100","3","Tag1203","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:IL",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2013_NY","Pure","0.060","3","Tag1204","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:NY",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2013_TX","Pure","0.063","3","Tag1205","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:TX",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2013_NJ","Pure","0.068","3","Tag1206","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:StatementGeographicalAxis","stpr:NJ",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2012_OfficeBuildingMember","Pure","0.266","3","Tag1207","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:MortgageLoansOnRealEstateDescriptionTypeOfPropertyAxis","us-gaap:OfficeBuildingMember",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2012_RetailSiteMember","Pure","0.227","3","Tag1208","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:MortgageLoansOnRealEstateDescriptionTypeOfPropertyAxis","us-gaap:RetailSiteMember",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2012_WarehouseMember","Pure","0.197","3","Tag1209","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:MortgageLoansOnRealEstateDescriptionTypeOfPropertyAxis","us-gaap:WarehouseMember",NA,NA,NA,NA,NA,NA
"all_MortgageLoansOnRealEstateCarryingValuePercentage","I2012_ApartmentBuildingMember","Pure","0.206","3","Tag1210","http://www.allstate.com/20131231","DisclosureInvestmentsDetails12","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:MortgageLoansOnRealEstateDescriptionTypeOfPropertyAxis","us-gaap:ApartmentBuildingMember",NA,NA,NA,NA,NA,NA
